adjudication_id,ems_instruction,escalation
a23bb4f3df1cb01c,1,2
e60b79e094ca12ec,1,2
c4388b7158984f0d,1,3
4499f256eb076437,1,3
9532269d4057412e,1,2
2ea7448b5ddd5272,1,3
a7042407e83e797e,1,3
4fb971abc3f1eec6,1,3
12b0ff8a412158ca,1,3
56efe79a7ed2f77f,1,3
136d0555c892a7ae,1,2
c4a051b3275dc6c8,1,2
f668f7ef1da2e54f,1,2
67771fe5ef71f16c,1,2
e21f2ee0118c7fce,1,2
ef55508d7a2e50a8,1,3
c531583e49fc7996,1,2
14d08168c7162b2e,1,3
7eae706abf4fc22a,1,2
b6d4efff7bd7fc0d,1,3
f260e98cc87d3361,1,3
e4229175be9dc316,1,3
450d6dd1beae434e,1,3
5fca633ebe128e36,1,2
53551dc07dfd96c5,1,3
3f224242a8e2fe49,1,3
52952e5cfab7b6cb,1,2
fc9f9cacc1af5e43,1,3
589a01d4a8a0b4ac,1,3
b72743650171dd87,1,2
f8366c61ce5a845d,1,3
29927ef4c31048c6,1,2
d4e0fcb4245f8f09,1,2
c50d677292566346,1,3
f8cb4a41e7a07d76,1,3
2c9ec242b2558810,1,3
09acac329b8a7f01,1,2
d6d16cff933ed355,1,3
4021e8b48b766df9,1,3
42365418904e99e4,1,2
f5d65c2f12a17f2c,1,3
7ffa486003532317,1,2
1ef732b17c2e64e7,1,3
fb77018eeee64394,1,2
d779c7cc016310ee,1,3
99ebe23709c2cdf8,1,3
8f920581fb84976e,1,3
4e8d0779cfd05256,1,3
1acb07d09a11f333,1,3
32722b37d53b08d8,1,2
025f266521284ffa,1,3
61cb7f613859f1ad,1,3
43d952e9bdc250bc,1,2
738059a97f696b99,1,3
77dc285d76a8b46e,1,3
c9b2e17efa9976ad,1,3
d72fb80cc72bc6ce,1,3
57fbfa600ffce5c3,1,3
de23ac45ccde0d1a,1,2
390da0bcc5ca9c42,1,3
d1d67ce6d46f4765,1,2
97db80ddb5c42696,1,2
db9694d47e724f77,1,2
353a5d6889f08885,1,2
5669e06ac8c2413e,1,3
8bc6a9e405ef1585,1,3
8a76d60b977c8518,1,3
665b0f7bd6fabede,1,2
82a8d6c85ac4de5d,1,3
006469b94dcc3f77,1,3
83e313342414baf0,1,3
3fa2777b3af1d1a6,1,3
6e91e7c48843445b,1,3
44a5785e4e094844,1,3
9cdaeba69b4fb553,1,2
7f6b144fbe9033bd,1,2
0648656cec674993,1,3
a66ed335bc0ec727,1,2
972bdb6a1d10bc8c,1,3
85038717dc65911f,1,2
af5b267cca5f6d2f,1,3
26ba024a3929e405,1,3
8a9cd7275ce9f53c,1,2
d12280d89967316b,1,3
1597822582c98976,1,2
e63c752b93e3e13c,1,3
ba0608dbcb702521,1,2
2a9b0103d7f48bc2,1,3
38391d66cfe1f56c,1,3
3106177a71b8c0be,1,2
7514c786bcdf707e,1,3
66f04d48d9d864f2,1,3
455cc629cb9d3777,0,1
af634ef23ac91f4e,1,2
58916aa819890140,1,3
9b7113f79e54e50e,1,2
c3053ecc2248872f,1,3
853afad22e5bf26a,1,2
3650e164bec06e50,1,2
86df0c1718650d8e,1,3
dce9119e22be04e2,1,3
6e59602a32a6c324,1,3
3930cec327bb594a,1,2
53884fc659256b6d,1,2
bc1a6d1639793d7d,1,3
764c6a12c2116289,1,2
6d2120d2e50d5d14,1,3
72cbaf88864d7ddb,1,3
a53eeef755dbaa93,1,3
c3c279f7eb013c87,1,3
5e862888ae446712,1,2
8671e10ebf53fc63,1,2
c421d2392403f283,1,2
7146a4b6326865ee,1,2
07dea69a6b6d80eb,1,3
50cd35b08edc0102,1,2
fb7c82dba9e770c0,1,3
700aeb9a3b200d2f,1,3
a611b0163fc36f55,1,3
7c4c98c9257280ee,1,3
c7ea802d7f576bb0,1,2
6c6fbb23f89da3e0,1,2
4188c4a9ab15719f,1,2
5ab20ac81944282c,1,3
2627c0023c802278,1,2
99fcdf3804cae8f1,1,3
5aad7485baac28ac,1,2
55b085a88427ace0,1,3
d34bd9444b6f04f3,1,3
ec4f5135c1781763,1,2
3de3f661c4b1795b,1,3
f3d3f97664802da4,1,2
b1d7ec5ab2858321,1,3
ede5ae5101b3d55a,1,2
bd0123b49be47108,1,3
f3d7b7da5a5b91b7,1,3
e811b6a54900b261,1,3
53730fa44852c2fd,1,3
a056add9d472a205,1,2
c8230456acbfa4e2,1,2
7d1f213567f8e55b,1,3
d3ddc81b02002f3e,1,2
91b5d0d2c76a6dac,1,3
257b64739cb4ec1f,1,3
bd3ec6db187ea996,1,3
63372ef803369f75,1,2
e92f9e5126ed6f7d,1,2
f4b9ded08e457b00,1,2
3ad9e34ce976b12c,1,3
63ffbb54f855da7e,1,3
1f19c1be12c99a0b,1,3
73e40b7eaaffc6a2,1,3
823e86645d385531,1,3
b121f6195e97a726,1,2
81f3000e378dd948,1,2
4403846f55c90df3,1,3
78eb2df20ff0814e,1,2
10b08c9844c741a9,1,3
b7bb5d147669e222,1,3
342b1378c66e502b,1,3
916ba2bb9ca41c1b,1,2
ae71b1ecf5764530,1,3
e56df419eebb8efe,1,3
af0cc039bbbfba19,1,2
548ab5f64282fe48,1,3
f32fb7c7102319c4,1,2
d2855e08fe45a26f,1,3
f6a0399c09605090,1,3
2e8da6cec3956ef0,1,2
e4117d74c8969798,1,2
ec429dcfa22c6b2b,1,3
f207ae8e62aac38e,1,3
44788e61c648a4df,1,2
a38e01f14d5d490d,1,3
0b826ee7d1488f9a,1,2
dfa5beb4b8613117,1,3
2946a85d436c81b2,1,2
0dd5d0ec42020994,1,3
1c3158ca61a86d51,1,3
dd806983f164a343,1,3
c03a29e15cdbdc19,1,2
0fe356371b968ff7,1,3
689c51bed8fe0d91,1,2
d5f3df553d52a3ef,1,2
526998021f576921,1,3
c7a3a40201e23367,1,3
3999b9361aa297ff,1,3
0fd4c2bd3ffcde4f,1,3
96fd9dcb57bee594,1,3
414d87b41763df28,1,3
8e49e2566291237c,1,3
a2012d090da2e576,1,3
9c4fc28bf4af2f15,1,2
d44f943abf7e33b3,1,3
ded729cb8d22a115,1,3
d5e5a55fc4ed3e11,1,3
34c73e7eb4fbe72e,1,3
5278fa99a8d9dc2e,1,3
ef43307fe2806b69,1,3
c5d7de86eb0ba8e5,1,3
149fe12613afec62,1,2
1667c16ba4d4de65,1,2
341dd49357657edb,1,3
5519e04588b4c7c5,1,3
e951a4652ed6680e,1,3
066266e9e41e2529,1,2
3344b94aae2a27d0,1,2
f34955b991421d7e,1,3
f41c01ef8ac3570d,1,3
61f8ca3046ccf5e9,1,2
b11f8eee32e82718,1,3
db59ebf31ce12217,1,2
2a4e54e81bf2892e,1,3
545b8a8fc0fcd305,1,2
6075d34cafd455a5,1,3
4d3d534cad1387ec,1,3
986c7c719abbacbb,1,3
bd3862d2a0b17679,1,3
9188af48f9ec1bfc,1,2
4c87284124634c03,1,2
4398fa0df80c967e,1,3
08ae7e64b032ccf0,1,2
c24a80d248c2aa5c,1,3
3253900407e3139e,1,3
ffa4c2d834829f3e,1,3
e3148c10826004c2,1,3
9640570ae11346ca,1,3
ee2eb7d12e498242,1,3
df09de1fe6744050,1,3
0f4846fae6cc9637,1,3
8e63a31d3871db79,1,3
4a267721eb7e52b6,1,2
